#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Animaniacs - Ten Pin Alley (USA);Animaniacs - Ten Pin Alley (USA);Sony PlayStation;;1998;ASC Games;Sports/Bowling;6;;;;;;;;
Animorphs - Shattered Reality (USA);Animorphs - Shattered Reality (USA);Sony PlayStation;;2000;Infogrames;Action;1;;;;;;;;
Anna Kournikova's Smash Court Tennis (Europe);Anna Kournikova's Smash Court Tennis (Europe);Sony PlayStation;;1999;Namco;Sports/Tennis;2;;;;;;;;
Ape Escape (USA);Ape Escape (USA);Sony PlayStation;;1999;SCEA;Platform;1;;;;;;;;
Apocalypse (USA);Apocalypse (USA);Sony PlayStation;;1998;Activision;Action;1;;;;;;;;
"Aqua GT (Europe) (En,Fr,De,Es,It,Nl)";Aqua GT (Europe);Sony PlayStation;;2001;Take-Two Interactive;Driving;2;;;;;;;;
Aqua GT (Europe);Aqua GT (Europe);Sony PlayStation;;2001;Take-Two Interactive;Driving;2;;;;;;;;
Aquanaut's Holiday (USA);Aquanaut's Holiday (USA);Sony PlayStation;;1995;SCEA;Adventure;1;;;;;;;;
Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Arc the Lad Collection - Arc Arena - Monster Tournament (USA);Sony PlayStation;;2002;Working Designs;Casino;2;;;;;;;;
Arc the Lad Collection - Arc the Lad (USA);Arc the Lad Collection - Arc the Lad (USA);Sony PlayStation;;2002;Working Designs;Strategy;2;;;;;;;;
Arc the Lad Collection - Arc the Lad II (USA);Arc the Lad Collection - Arc the Lad II (USA);Sony PlayStation;;2002;Working Designs;Strategy;2;;;;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Arc the Lad Collection - Arc the Lad III (USA) (Disc 1);Sony PlayStation;;2002;Working Designs;Strategy;2;;;;;;;;
Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Arc the Lad Collection - Arc the Lad III (USA) (Disc 2);Sony PlayStation;;2002;Working Designs;Strategy;2;;;;;;;;
Arcade Party Pak (USA);Arcade Party Pak (USA);Sony PlayStation;;1999;Midway;Miscellaneous;2;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 1 (USA);Arcade's Greatest Hits - The Atari Collection 1 (USA);Sony PlayStation;;1996;Midway;Miscellaneous;2;;;;;;;;
Arcade's Greatest Hits - The Atari Collection 2 (USA);Arcade's Greatest Hits - The Atari Collection 2 (USA);Sony PlayStation;;1997;Midway;Miscellaneous;2;;;;;;;;
Arcade's Greatest Hits - The Midway Collection 2 (USA);Arcade's Greatest Hits - The Midway Collection 2 (USA);Sony PlayStation;;1997;Midway;Miscellaneous;2;;;;;;;;
Archer Maclean's 3D Pool (Europe);Archer Maclean's 3D Pool (Europe);Sony PlayStation;;2003;Ignition Entertainment;Sports/Pool and Dart;;;;;;;;;
Area 51 (USA);Area 51 (USA);Sony PlayStation;;1996;Midway;Gun;2;;;;;;;;
Area 51 (USA) (v1.1);Area 51 (USA) (v1.1);Sony PlayStation;;1996;Midway;Gun;2;;;;;;;;
"Ark of Time (Europe) (En,Fr,De,Es,It)";Ark of Time (Europe);Sony PlayStation;;1998;Project Two Interactive;Adventure;1;;;;;;;;
Ark of Time (Europe);Ark of Time (Europe);Sony PlayStation;;1998;Project Two Interactive;Adventure;1;;;;;;;;
Armored Core (USA);Armored Core (USA);Sony PlayStation;;1997;SCEA;Simulation;2;;;;;;;;
Armored Core (USA) (v1.1);Armored Core (USA) (v1.1);Sony PlayStation;;1997;SCEA;Simulation;2;;;;;;;;
Armored Core - Master of Arena (USA) (Disc 1);Armored Core - Master of Arena (USA) (Disc 1);Sony PlayStation;;2000;Agetec;Simulation;2;;;;;;;;
Armored Core - Master of Arena (USA) (Disc 2);Armored Core - Master of Arena (USA) (Disc 2);Sony PlayStation;;2000;Agetec;Simulation;2;;;;;;;;
Armored Core - Project Phantasma (USA);Armored Core - Project Phantasma (USA);Sony PlayStation;;1998;ASCII;Simulation;2;;;;;;;;
Armorines - Project S.W.A.R.M. (USA);Armorines - Project S.W.A.R.M. (USA);Sony PlayStation;;2000;Acclaim;Action;2;;;;;;;;
Army Men - Air Attack (USA);Army Men - Air Attack (USA);Sony PlayStation;;1999;3DO;Action;2;;;;;;;;
