#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Alex Ferguson's Player Manager 2002 (Europe) (En,Fr,De,Es,It,Nl)";"Alex Ferguson's Player Manager 2002 (Europe) (En,Fr,De,Es,It,Nl)";Nintendo Game Boy Advance;;2002;Ubisoft;Soccer/Sports;;;;;;;;;
Alex Rider - Stormbreaker (USA);Alex Rider - Stormbreaker (USA);Nintendo Game Boy Advance;;2006;THQ;Action;1;;;;;;;;
"Alien Hominid (Europe) (En,Fr,De,Es,It)";"Alien Hominid (Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2006;Zoo Digital Publishing;Shooter;1;;;;;;;;
"Alienators - Evolution Continues (USA, Europe)";"Alienators - Evolution Continues (USA, Europe)";Nintendo Game Boy Advance;;2001;Activision;Action;1;;;;;;;;
"All Grown Up! - Express Yourself (USA, Europe)";"All Grown Up! - Express Yourself (USA, Europe)";Nintendo Game Boy Advance;;2004;THQ;Miscellaneous;;;;;;;;;
All-Star Baseball 2003 (USA);All-Star Baseball 2003 (USA);Nintendo Game Boy Advance;;2002;Acclaim;Baseball/Sports;1;;;;;;;;
All-Star Baseball 2004 (USA);All-Star Baseball 2004 (USA);Nintendo Game Boy Advance;;2003;Acclaim;Baseball/Sports;;;;;;;;;
Altered Beast - Guardian of the Realms (USA);Altered Beast - Guardian of the Realms (USA);Nintendo Game Boy Advance;;2002;THQ;Beat-'Em-Up;4;;;;;;;;
"Amazing Virtual Sea-Monkeys, The (USA)";"Amazing Virtual Sea-Monkeys, The (USA)";Nintendo Game Boy Advance;;2002;Conspiracy Entertainment;Action;;;;;;;;;
American Bass Challenge (USA);American Bass Challenge (USA);Nintendo Game Boy Advance;;2001;Ubisoft;Fishing/Sports;4;;;;;;;;
"American Dragon - Jake Long - Rise of the Huntsclan (USA, Europe) (En,Fr,De,Es,It)";"American Dragon - Jake Long - Rise of the Huntsclan (USA, Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2006;Buena Vista Games;Action;1;;;;;;;;
American Idol (USA);American Idol (USA);Nintendo Game Boy Advance;;2003;Codemasters;Rhythm;1;;;;;;;;
"An American Tail - Fievel's Gold Rush (USA) (En,Es)";"An American Tail - Fievel's Gold Rush (USA) (En,Es)";Nintendo Game Boy Advance;;2003;Crave;Action;;;;;;;;;
Animal Snap - Rescue Them 2 by 2 (USA);Animal Snap - Rescue Them 2 by 2 (USA);Nintendo Game Boy Advance;;2002;Ignition Entertainment;Puzzle;;;;;;;;;
"Animaniacs - Lights, Camera, Action! (Europe) (En,Fr,De,Es,It)";"Animaniacs - Lights, Camera, Action! (Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2005;Ignition Entertainment;Platform;2;;;;;;;;
"Ant Bully, The (USA) (En,Fr)";"Ant Bully, The (USA) (En,Fr)";Nintendo Game Boy Advance;;2006;Midway;Platform;;;;;;;;;
Antz - Extreme Racing (USA);Antz - Extreme Racing (USA);Nintendo Game Boy Advance;;2002;Empire Interactive;Driving;2;;;;;;;;
Archer Maclean's 3D Pool (USA);Archer Maclean's 3D Pool (USA);Nintendo Game Boy Advance;;2004;Crave;Pool and Dart;;;;;;;;;
Arctic Tale (USA);Arctic Tale (USA);Nintendo Game Boy Advance;;2007;DSI Games;Adventure;;;;;;;;;
"Army Men - Operation Green (USA, Europe) (En,Fr,De,Es,It)";"Army Men - Operation Green (USA, Europe) (En,Fr,De,Es,It)";Nintendo Game Boy Advance;;2001;3DO;Action;1;;;;;;;;
Army Men - Turf Wars (USA);Army Men - Turf Wars (USA);Nintendo Game Boy Advance;;2002;3DO;Shooter;;;;;;;;;
