#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
NBA Hangtime (USA);NBA Hangtime (USA);Nintendo 64;;1997;Midway;Basketball/Sports;4;;;;;;;;
NBA Jam 2000 (USA);NBA Jam 2000 (USA);Nintendo 64;;1999;Acclaim;Basketball/Sports;4;;;;;;;;
NBA Jam 99 (USA);NBA Jam 99 (USA);Nintendo 64;;1998;Acclaim;Basketball/Sports;4;;;;;;;;
"NBA Live 2000 (USA) (En,Fr,De,Es)";"NBA Live 2000 (USA) (En,Fr,De,Es)";Nintendo 64;;2000;Konami;Basketball/Sports;4;;;;;;;;
"NBA Live 99 (USA) (En,Fr,De,Es,It)";"NBA Live 99 (USA) (En,Fr,De,Es,It)";Nintendo 64;;1998;EA Sports;Basketball/Sports;4;;;;;;;;
NBA Showtime - NBA on NBC (USA);NBA Showtime - NBA on NBC (USA);Nintendo 64;;1999;Midway;Basketball/Sports;4;;;;;;;;
NBA in the Zone '98 (USA);NBA in the Zone '98 (USA);Nintendo 64;;1998;Konami;Basketball/Sports;4;;;;;;;;
NBA in the Zone '99 (USA);NBA in the Zone '99 (USA);Nintendo 64;;1999;Konami;Basketball/Sports;4;;;;;;;;
NBA in the Zone 2000 (USA);NBA in the Zone 2000 (USA);Nintendo 64;;2000;Konami;Basketball/Sports;2;;;;;;;;
NFL Blitz (USA);NFL Blitz (USA);Nintendo 64;;1998;Midway;Football/Sports;2;;;;;;;;
NFL Blitz - Special Edition (USA);NFL Blitz - Special Edition (USA);Nintendo 64;;2001;Midway;Football/Sports;4;;;;;;;;
NFL Blitz 2000 (USA);NFL Blitz 2000 (USA);Nintendo 64;;1999;Midway;Football/Sports;4;;;;;;;;
NFL Blitz 2001 (USA);NFL Blitz 2001 (USA);Nintendo 64;;2000;Midway;Football/Sports;4;;;;;;;;
NFL Quarterback Club 2000 (USA);NFL Quarterback Club 2000 (USA);Nintendo 64;;1999;Acclaim;Football/Sports;4;;;;;;;;
NFL Quarterback Club 2001 (USA);NFL Quarterback Club 2001 (USA);Nintendo 64;;2000;Acclaim;Football/Sports;4;;;;;;;;
NFL Quarterback Club 98 (USA);NFL Quarterback Club 98 (USA);Nintendo 64;;1997;Acclaim;Football/Sports;4;;;;;;;;
NFL Quarterback Club 99 (USA);NFL Quarterback Club 99 (USA);Nintendo 64;;1998;Acclaim;Football/Sports;4;;;;;;;;
NHL 99 (USA);NHL 99 (USA);Nintendo 64;;1998;EA Sports;Hockey/Sports;4;;;;;;;;
NHL Blades of Steel '99 (USA);NHL Blades of Steel '99 (USA);Nintendo 64;;1999;Konami;Hockey/Sports;4;;;;;;;;
NHL Breakaway 98 (USA);NHL Breakaway 98 (USA);Nintendo 64;;1998;Acclaim;Hockey/Sports;4;;;;;;;;
NHL Breakaway 99 (USA);NHL Breakaway 99 (USA);Nintendo 64;;1998;Acclaim;Hockey/Sports;4;;;;;;;;
Nagano Winter Olympics '98 (USA);Nagano Winter Olympics '98 (USA);Nintendo 64;;1998;Konami;Olympic/Sports;2;;;;;;;;
Namco Museum 64 (USA);Namco Museum 64 (USA);Nintendo 64;;1999;Namco;Miscellaneous;4;;;;;;;;
"New Tetris, The (USA)";"New Tetris, The (USA)";Nintendo 64;;1999;Nintendo;Puzzle;1;;;;;;;;
Nightmare Creatures (USA);Nightmare Creatures (USA);Nintendo 64;;1998;Activision;Adventure;1;;;;;;;;
