#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Bill & Ted's Excellent Game Boy Adventure (USA, Europe)";"Bill & Ted's Excellent Game Boy Adventure (USA, Europe)";Nintendo Game Boy;;1991;LJN Ltd.;Platform;2;;;;;;;;
Bill Elliott's NASCAR Fast Tracks (USA);Bill Elliott's NASCAR Fast Tracks (USA);Nintendo Game Boy;;1991;Konami;Driving;2;;;;;;;;
Bionic Battler (USA);Bionic Battler (USA);Nintendo Game Boy;;1992;Electro Brain;Action;;;;;;;;;
Bionic Commando (USA);Bionic Commando (USA);Nintendo Game Boy;;1992;Capcom;Platform;;;;;;;;;
Bishoujo Senshi Sailor Moon (Japan) (Translated En);Bishoujo Senshi Sailor Moon (Japan) (Translated En);Nintendo Game Boy;;1992;Bandai;Action;;;;;;;;;
Black Bass - Lure Fishing (USA);Black Bass - Lure Fishing (USA);Nintendo Game Boy;;1994;Hot B;Sports/Fishing;;;;;;;;;
Black Forest Tale (Asia) (Unl);Black Forest Tale (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Action;;;;;;;;;
Blades of Steel (USA);Blades of Steel (USA);Nintendo Game Boy;;1991;Ultra Soft;Sports/Hockey;2;;;;;;;;
Blaster Master Boy (USA);Blaster Master Boy (USA);Nintendo Game Boy;;1992;SunSoft;Action;1;;;;;;;;
Block Kuzushi GB (Japan) (Translated En);Block Kuzushi GB (Japan) (Translated En);Nintendo Game Boy;;1995;OeRSTED;Breakout;;;;;;;;;
Blodia (Japan);Blodia (Japan);Nintendo Game Boy;;1990;Tonkin House;Puzzle;;;;;;;;;
"Blues Brothers, The (USA, Europe)";"Blues Brothers, The (USA, Europe)";Nintendo Game Boy;;1992;Titus Software;Platform;;;;;;;;;
"Blues Brothers, The - Jukebox Adventure (Europe)";"Blues Brothers, The - Jukebox Adventure (Europe)";Nintendo Game Boy;;1994;Titus Software;Platform;;;;;;;;;
Bo Jackson - Two Games in One (USA);Bo Jackson - Two Games in One (USA);Nintendo Game Boy;;1991;THQ;Sports;2;;;;;;;;
Boggle Plus (USA);Boggle Plus (USA);Nintendo Game Boy;;1992;Parker Bros;Puzzle;;;;;;;;;
Bomb Disposer (Asia) (Unl);Bomb Disposer (Asia) (Unl);Nintendo Game Boy;;1993;Sachen;Action;;;;;;;;;
Bomb Jack (Europe);Bomb Jack (Europe);Nintendo Game Boy;;1992;Infogrames;Platform;;;;;;;;;
Bomber Man GB 3 (Japan) (Translated En);Bomber Man GB 3 (Japan) (Translated En);Nintendo Game Boy;;1996;Hudson;Puzzle;;;;;;;;;
"Bomberman GB (USA, Europe)";"Bomberman GB (USA, Europe)";Nintendo Game Boy;;1998;Nintendo;Action;1;;;;;;;;
Bonk's Adventure (USA);Bonk's Adventure (USA);Nintendo Game Boy;;1992;Hudson;Platform;1;;;;;;;;
Bonk's Revenge (USA);Bonk's Revenge (USA);Nintendo Game Boy;;1994;Hudson;Platform;;;;;;;;;
Booby Boys (Japan) (Translated En);Booby Boys (Japan) (Translated En);Nintendo Game Boy;;1993;Nichibutsu;Action;;;;;;;;;
Boomer's Adventure in ASMIK World (USA);Boomer's Adventure in ASMIK World (USA);Nintendo Game Boy;;1990;"Asmik Ace Entertainment, Inc";Action;2;;;;;;;;
Boulder Dash (Europe);Boulder Dash (Europe);Nintendo Game Boy;;1990;Victor Interactive Software;Puzzle;2;;;;;;;;
"Boxxle (USA, Europe)";"Boxxle (USA, Europe)";Nintendo Game Boy;;1990;Pony Canyon;Puzzle;1;;;;;;;;
"Boxxle (USA, Europe) (Rev A)";"Boxxle (USA, Europe) (Rev A)";Nintendo Game Boy;;1990;Pony Canyon;Puzzle;1;;;;;;;;
Boxxle II (USA);Boxxle II (USA);Nintendo Game Boy;;1992;"FCI, Inc";Puzzle;1;;;;;;;;
Brain Bender (USA);Brain Bender (USA);Nintendo Game Boy;;1991;Electro Brain;Puzzle;;;;;;;;;
Brain Drain (USA);Brain Drain (USA);Nintendo Game Boy;;1998;Acclaim;Action;;;;;;;;;
"Bram Stoker's Dracula (USA, Europe)";"Bram Stoker's Dracula (USA, Europe)";Nintendo Game Boy;;1993;Sony Imagesoft;Action;1;;;;;;;;
BreakThru! (USA);BreakThru! (USA);Nintendo Game Boy;;1995;Spectrum Holobyte;Puzzle;2;;;;;;;;
"Bubble Bobble (USA, Europe)";"Bubble Bobble (USA, Europe)";Nintendo Game Boy;;1991;Taito Corporation;Platform;1;;;;;;;;
"Bubble Bobble Part 2 (USA, Europe)";"Bubble Bobble Part 2 (USA, Europe)";Nintendo Game Boy;;1993;Taito Corporation;Platform;;;;;;;;;
"Bubble Ghost (USA, Europe)";"Bubble Ghost (USA, Europe)";Nintendo Game Boy;;1990;"FCI, Inc";Action;1;;;;;;;;
Bubsy II (USA);Bubsy II (USA);Nintendo Game Boy;;1998;Accolade;Platform;1;;;;;;;;
"Bugs Bunny Crazy Castle 2, The (USA)";"Bugs Bunny Crazy Castle 2, The (USA)";Nintendo Game Boy;;1991;Kemco;Action;1;;;;;;;;
"Bugs Bunny Crazy Castle, The (USA, Europe)";"Bugs Bunny Crazy Castle, The (USA, Europe)";Nintendo Game Boy;;1990;Kemco;Platform;;;;;;;;;
"Burai Fighter Deluxe (USA, Europe)";"Burai Fighter Deluxe (USA, Europe)";Nintendo Game Boy;;1991;Taxan;Shoot-'Em-Up;;;;;;;;;
BurgerTime Deluxe (World);BurgerTime Deluxe (World);Nintendo Game Boy;;1991;Data East;Action;2;;;;;;;;
Burning Paper (Japan);Burning Paper (Japan);Nintendo Game Boy;;1993;G-Amusements;Puzzle;;;;;;;;;
