#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Dragon Tales - Dragon Wings (USA);Dragon Tales - Dragon Wings (USA);Nintendo Game Boy Color;;2000;NewKidCo;Action;;;;;;;;;
Dragon Warrior I & II (USA);Dragon Warrior I & II (USA);Nintendo Game Boy Color;;2000;Enix Corporation;Role-Playing;1;;;;;;;;
Dragon Warrior III (USA);Dragon Warrior III (USA);Nintendo Game Boy Color;;2001;Enix Corportation;Role-Playing;1;;;;;;;;
Dragon Warrior Monsters (USA);Dragon Warrior Monsters (USA);Nintendo Game Boy Color;;2000;Eidos Interactive;Role-Playing;2;;;;;;;;
Dragon Warrior Monsters 2 - Cobi's Journey (USA);Dragon Warrior Monsters 2 - Cobi's Journey (USA);Nintendo Game Boy Color;;2001;Enix Corporation;Role-Playing;2;;;;;;;;
Dragon Warrior Monsters 2 - Tara's Adventure (USA);Dragon Warrior Monsters 2 - Tara's Adventure (USA);Nintendo Game Boy Color;;2001;Enix Corporation;Role-Playing;2;;;;;;;;
"Dragon's Lair (USA, Europe)";"Dragon's Lair (USA, Europe)";Nintendo Game Boy Color;;2001;Capcom;Adventure;1;;;;;;;;
Driver - You are the Wheelman (USA);Driver - You are the Wheelman (USA);Nintendo Game Boy Color;;2000;Infogrames;Driving;1;;;;;;;;
Dropzone (Europe);Dropzone (Europe);Nintendo Game Boy Color;;1999;Acclaim;Shoot-'Em-Up;1;;;;;;;;
Duke Nukem (USA);Duke Nukem (USA);Nintendo Game Boy Color;;1999;GT Interactive;Platform;1;;;;;;;;
"Dukes of Hazzard, The - Racing for Home (USA)";"Dukes of Hazzard, The - Racing for Home (USA)";Nintendo Game Boy Color;;2000;SouthPeak Games;Driving;;;;;;;;;
E.T. The Extra Terrestrial - Digital Companion (USA);E.T. The Extra Terrestrial - Digital Companion (USA);Nintendo Game Boy Color;;2001;NewKidCo;Puzzle;;;;;;;;;
E.T. The Extra Terrestrial - Escape from Planet Earth (USA);E.T. The Extra Terrestrial - Escape from Planet Earth (USA);Nintendo Game Boy Color;;2001;NewKidCo;Action;;;;;;;;;
E.T. and the Cosmic Garden (USA);E.T. and the Cosmic Garden (USA);Nintendo Game Boy Color;;2002;NewKidCo;Strategy;;;;;;;;;
"ECW Hardcore Revolution (USA, Europe)";"ECW Hardcore Revolution (USA, Europe)";Nintendo Game Boy Color;;2000;Acclaim;Sports/Wrestling;;;;;;;;;
ESPN International Track & Field (USA);ESPN International Track & Field (USA);Nintendo Game Boy Color;;2000;Konami;Sports;;;;;;;;;
ESPN National Hockey Night (USA);ESPN National Hockey Night (USA);Nintendo Game Boy Color;;2001;Konami;Sports;;;;;;;;;
"Earthworm Jim - Menace 2 the Galaxy (USA, Europe)";"Earthworm Jim - Menace 2 the Galaxy (USA, Europe)";Nintendo Game Boy Color;;1999;Crave;Platform;1;;;;;;;;
Elmo's 123s (USA);Elmo's 123s (USA);Nintendo Game Boy Color;;1999;NewKidCo;Miscellaneous;;;;;;;;;
Elmo's ABCs (USA);Elmo's ABCs (USA);Nintendo Game Boy Color;;1999;NewKidCo;Miscellaneous;;;;;;;;;
"Emperor's New Groove, The (USA)";"Emperor's New Groove, The (USA)";Nintendo Game Boy Color;;2000;Ubisoft;Action;1;;;;;;;;
Evel Knievel (USA);Evel Knievel (USA);Nintendo Game Boy Color;;1999;Rockstar Games;Driving;;;;;;;;;
Extreme Ghostbusters (Europe);Extreme Ghostbusters (Europe);Nintendo Game Boy Color;;2001;LSP;Action;;;;;;;;;
"Extreme Sports with the Berenstain Bears (USA, Europe)";"Extreme Sports with the Berenstain Bears (USA, Europe)";Nintendo Game Boy Color;;2000;Sound Source;Sports;;;;;;;;;
F-1 World Grand Prix (Europe);F-1 World Grand Prix (Europe);Nintendo Game Boy Color;;2000;Video System;Driving;2;;;;;;;;
"F-18 Thunder Strike (USA, Europe)";"F-18 Thunder Strike (USA, Europe)";Nintendo Game Boy Color;;2000;Majesco Games;Simulation;;;;;;;;;
"F.A. Premier League Stars 2001, The (Europe)";"F.A. Premier League Stars 2001, The (Europe)";Nintendo Game Boy Color;;2001;THQ;Sports;1;;;;;;;;
F1 Championship Season 2000 (Europe);F1 Championship Season 2000 (Europe);Nintendo Game Boy Color;;2000;EA Sports;Driving;;;;;;;;;
F1 Racing Championship (Europe);F1 Racing Championship (Europe);Nintendo Game Boy Color;;2000;Ubisoft;Driving;;;;;;;;;
F1 World Grand Prix II (USA);F1 World Grand Prix II (USA);Nintendo Game Boy Color;;2000;Konami;Driving;2;;;;;;;;
"FIFA 2000 (USA, Europe)";"FIFA 2000 (USA, Europe)";Nintendo Game Boy Color;;1999;THQ;Sports/Soccer;1;;;;;;;;
