#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
"Sporting News Power Baseball, The (USA)";"Sporting News Power Baseball, The (USA)";Super Nintendo Entertainment System;;1995;Hudson;Sports/Baseball;4;;;;;;;;
Sports Illustrated Championship Football & Baseball (USA);Sports Illustrated Championship Football & Baseball (USA);Super Nintendo Entertainment System;;1994;Malibu;Sports;;;;;;;;;
Star Fox (USA);Star Fox (USA);Super Nintendo Entertainment System;;1993;Nintendo;Simulation;1;;;;;;;;
Star Fox (USA) (Rev 2);Star Fox (USA) (Rev 2);Super Nintendo Entertainment System;;1993;Nintendo;Simulation;;;;;;;;;
Star Fox (USA) (Super Weekend Competition);Star Fox (USA) (Super Weekend Competition);Super Nintendo Entertainment System;;1993;Nintendo;Simulation;;;;;;;;;
Star Trek - Deep Space Nine - Crossroads of Time (USA);Star Trek - Deep Space Nine - Crossroads of Time (USA);Super Nintendo Entertainment System;;1995;Playmates;Action;1;;;;;;;;
Star Trek - Starfleet Academy - Starship Bridge Simulator (USA);Star Trek - Starfleet Academy - Starship Bridge Simulator (USA);Super Nintendo Entertainment System;;1994;Interplay;Simulation;;;;;;;;;
Star Trek - The Next Generation - Future's Past (USA);Star Trek - The Next Generation - Future's Past (USA);Super Nintendo Entertainment System;;1995;Spectrum Holobyte;Adventure;;;;;;;;;
Stargate (USA);Stargate (USA);Super Nintendo Entertainment System;;1994;Acclaim;Platform;1;;;;;;;;
Steel Talons (USA);Steel Talons (USA);Super Nintendo Entertainment System;;1993;Left Field Productions;Action;2;;;;;;;;
Sterling Sharpe - End 2 End (USA);Sterling Sharpe - End 2 End (USA);Super Nintendo Entertainment System;;1995;Jaleco;Sports;;;;;;;;;
Stone Protectors (USA);Stone Protectors (USA);Super Nintendo Entertainment System;;1994;Kemco;Fighter;2;;;;;;;;
Street Combat (USA);Street Combat (USA);Super Nintendo Entertainment System;;1993;Irem;Fighter;2;;;;;;;;
Street Fighter Alpha 2 (USA);Street Fighter Alpha 2 (USA);Super Nintendo Entertainment System;;1996;Capcom;Fighter;2;;;;;;;;
Street Fighter II (USA);Street Fighter II (USA);Super Nintendo Entertainment System;;1992;Capcom;Fighter;2;;;;;;;;
