#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Hot Wheels - Stunt Track Challenge (USA);Hot Wheels - Stunt Track Challenge (USA);Sony PlayStation 2;;2004;Climax Group;Driving;6;;;;;;;;
Hot Wheels - Velocity X - Maximum Justice (USA);Hot Wheels - Velocity X - Maximum Justice (USA);Sony PlayStation 2;;2002;Beyond Games;Driving;2;;;;;;;;
Hot Wheels - World Race (USA);Hot Wheels - World Race (USA);Sony PlayStation 2;;2003;Climax Group;Driving;;;;;;;;;
Hugo - Magic In The Troll Woods (Europe);Hugo - Magic In The Troll Woods (Europe);Sony PlayStation 2;;2009;Attractive Games;Platform;;;;;;;;;
Hugo Bukkazoom! (Europe);Hugo Bukkazoom! (Europe);Sony PlayStation 2;;2003;ITE Media;Driving;;;;;;;;;
Hugo Cannon Cruise (Europe);Hugo Cannon Cruise (Europe);Sony PlayStation 2;;2004;NDS Software;Flying;;;;;;;;;
Hulk (USA);Hulk (USA);Sony PlayStation 2;;2003;Radical Entertainment;Beat-'Em-Up;1;;;;;;;;
Hummer Badlands (USA);Hummer Badlands (USA);Sony PlayStation 2;;2006;Eutechnyx;Driving;2;;;;;;;;
Hunter - The Reckoning Wayward (USA);Hunter - The Reckoning Wayward (USA);Sony PlayStation 2;;2003;High Voltage Software;Beat-'Em-Up;2;;;;;;;;
"Hustle, The - Detroit Streets (USA)";"Hustle, The - Detroit Streets (USA)";Sony PlayStation 2;;2006;Blade Interactive;Sports/Pool and Dart;1;;;;;;;;
Hype - The Time Quest (Europe);Hype - The Time Quest (Europe);Sony PlayStation 2;;2002;Ubisoft;Adventure;;;;;;;;;
Hyper Street Fighter II - The Anniversary Edition (Europe);Hyper Street Fighter II - The Anniversary Edition (Europe);Sony PlayStation 2;;2004;Capcom;Fighter;2;;;;;;;;
I-Ninja (USA);I-Ninja (USA);Sony PlayStation 2;;2003;Argonaut Games;Platform;1;;;;;;;;
ICO (USA);ICO (USA);Sony PlayStation 2;;2001;SCE Japan Studio;Adventure;1;;;;;;;;
IGPX - Immortal Grand Prix (USA);IGPX - Immortal Grand Prix (USA);Sony PlayStation 2;;2006;Namco Bandai Games;Driving;2;;;;;;;;
IHRA Drag Racing - Sportsman Edition (USA);IHRA Drag Racing - Sportsman Edition (USA);Sony PlayStation 2;;2006;Bethesda Softworks;Driving;;;;;;;;;
IHRA Drag Racing 2 (USA);IHRA Drag Racing 2 (USA);Sony PlayStation 2;;2002;Bethesda Softworks;Driving;2;;;;;;;;
IHRA Professional Drag Racing 2005 (USA);IHRA Professional Drag Racing 2005 (USA);Sony PlayStation 2;;2004;Bethesda Softworks;Driving;2;;;;;;;;
Ice Age - Dawn of the Dinosaurs (USA);Ice Age - Dawn of the Dinosaurs (USA);Sony PlayStation 2;;2009;Activision;Action;4;;;;;;;;
Ice Age 2 - The Meltdown (USA);Ice Age 2 - The Meltdown (USA);Sony PlayStation 2;;2006;Eurocom Entertainment Software;Platform;1;;;;;;;;
Impossible Mission (Europe);Impossible Mission (Europe);Sony PlayStation 2;;2007;System 3;Platform;1;;;;;;;;
In The Groove (USA);In The Groove (USA);Sony PlayStation 2;;2005;Roxor Games;Rhythm;2;;;;;;;;
In the Groove 2 (USA) (Proto);In the Groove 2 (USA) (Proto);Sony PlayStation 2;;2005;CokeM Interactive;Rhythm;2;;;;;;;;
"Incredible Hulk, The (USA)";"Incredible Hulk, The (USA)";Sony PlayStation 2;;2008;Edge of Reality;Action;1;;;;;;;;
"Incredible Hulk, The - Ultimate Destruction (USA)";"Incredible Hulk, The - Ultimate Destruction (USA)";Sony PlayStation 2;;2005;Radical Entertainment;Action;1;;;;;;;;
