#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Brett Hull Hockey '95 (USA);Brett Hull Hockey '95 (USA);Sega Genesis;;1994;Radical Entertainment;Hockey/Sports;2;;;;;;;;
Brian Lara Cricket (Europe);Brian Lara Cricket (Europe);Sega Genesis;;1995;Audiogenic;Cricket/Sports;4;;;;;;;;
Brian Lara Cricket 96 (Europe);Brian Lara Cricket 96 (Europe);Sega Genesis;;1996;Audiogenic;Cricket/Sports;4;;;;;;;;
Brutal - Paws of Fury (USA);Brutal - Paws of Fury (USA);Sega Genesis;;1994;Imagitec Design;Fighter;2;;;;;;;;
Bubba'n'Stix - A Strategy Adventure (USA);Bubba'n'Stix - A Strategy Adventure (USA);Sega Genesis;;1993;Core Design;Strategy;1;;;;;;;;
Bubble and Squeak (USA);Bubble and Squeak (USA);Sega Genesis;;1994;Audiogenic;Platform;1;;;;;;;;
"Bubsy II (USA, Europe)";"Bubsy II (USA, Europe)";Sega Genesis;;1993;Accolade;Platform;2;;;;;;;;
"Bubsy in Claws Encounters of the Furred Kind (USA, Europe)";"Bubsy in Claws Encounters of the Furred Kind (USA, Europe)";Sega Genesis;;1994;Accolade;Platform;2;;;;;;;;
"Buck Rogers - Countdown to Doomsday (USA, Europe)";"Buck Rogers - Countdown to Doomsday (USA, Europe)";Sega Genesis;;1991;SSI;Strategy;;;;;;;;;
Budokan - The Martial Spirit (USA);Budokan - The Martial Spirit (USA);Sega Genesis;;1990;Electronic Arts;Platform;2;;;;;;;;
Bugs Bunny in Double Trouble (USA);Bugs Bunny in Double Trouble (USA);Sega Genesis;;1996;Atod AB;Platform;1;;;;;;;;
"Bulls Vs Lakers and the NBA Playoffs (USA, Europe)";"Bulls Vs Lakers and the NBA Playoffs (USA, Europe)";Sega Genesis;;1992;Capcom;Sports/Basketball;2;;;;;;;;
"Bulls versus Blazers and the NBA Playoffs (USA, Europe)";"Bulls versus Blazers and the NBA Playoffs (USA, Europe)";Sega Genesis;;1993;Electronic Arts;Sports/Basketball;2;;;;;;;;
Burning Force (USA);Burning Force (USA);Sega Genesis;;1990;Namco;Shooter;1;;;;;;;;
"Cadash (USA, Asia)";"Cadash (USA, Asia)";Sega Genesis;;1992;Taito;Action;2;;;;;;;;
Caesars Palace (USA);Caesars Palace (USA);Sega Genesis;;1993;Illusions Gaming Company;Casino;;;;;;;;;
Cal Ripken Jr. Baseball (USA);Cal Ripken Jr. Baseball (USA);Sega Genesis;;1992;Mindscape;Sports/Baseball;2;;;;;;;;
Caliber.50 (USA);Caliber.50 (USA);Sega Genesis;;1991;Visco;Shooter;1;;;;;;;;
"California Games (USA, Europe)";"California Games (USA, Europe)";Sega Genesis;;1991;Novotrade;Sports;8;;;;;;;;
Cannon Fodder (Europe);Cannon Fodder (Europe);Sega Genesis;;1994;Panelcomp;Platform;1;;;;;;;;
Captain America and the Avengers (USA);Captain America and the Avengers (USA);Sega Genesis;;1992;OperaHouse;Beat-'Em-Up;2;;;;;;;;
Captain Planet and the Planeteers (USA);Captain Planet and the Planeteers (USA);Sega Genesis;;1993;NovaLogic;Platform;1;;;;;;;;
"Castle of Illusion Starring Mickey Mouse (USA, Europe)";"Castle of Illusion Starring Mickey Mouse (USA, Europe)";Sega Genesis;;1990;Sega;Platform;1;;;;;;;;
Castlevania - Bloodlines (USA);Castlevania - Bloodlines (USA);Sega Genesis;;1994;Konami;Platform;1;;;;;;;;
"Centurion - Defender of Rome (USA, Europe)";"Centurion - Defender of Rome (USA, Europe)";Sega Genesis;;1991;Bits of Magic;Strategy;1;;;;;;;;
"Chakan (USA, Europe)";"Chakan (USA, Europe)";Sega Genesis;;1992;Extended Play Productions;Platform;1;;;;;;;;
Champions World Class Soccer (World);Champions World Class Soccer (World);Sega Genesis;;1993;Park Place Productions;Sports/Soccer;2;;;;;;;;
Championship Bowling (USA);Championship Bowling (USA);Sega Genesis;;1993;Visco;Sports/Bowling;;;;;;;;;
Championship Pool (USA);Championship Pool (USA);Sega Genesis;;1993;Bitmasters;Sports/Billiards;8;;;;;;;;
Championship Pro-Am (USA);Championship Pro-Am (USA);Sega Genesis;;1992;Rare;Driving;;;;;;;;;
Chase H.Q. II (USA);Chase H.Q. II (USA);Sega Genesis;;1992;Taito;Driving;1;;;;;;;;
Chavez II (USA);Chavez II (USA);Sega Genesis;;1993;Sculptured Software;Sports/Boxing;;;;;;;;;
