#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra
Casino Kid (USA);Casino Kid (USA);Nintendo Entertainment System;;1989;Sofel;Casino;1;;;;;;;;
Casino Kid II (USA);Casino Kid II (USA);Nintendo Entertainment System;;1993;Sofel;Casino;1;;;;;;;;
Castelian (USA);Castelian (USA);Nintendo Entertainment System;;1991;Triffix;Adventure;1;;;;;;;;
Castle of Deceit (USA) (Unl);Castle of Deceit (USA) (Unl);Nintendo Entertainment System;;1990;"Bunch Games, Inc.";Platform;;;;;;;;;
Castle of Dragon (USA);Castle of Dragon (USA);Nintendo Entertainment System;;1990;Seta Corporation;Action;1;;;;;;;;
Castlequest (USA);Castlequest (USA);Nintendo Entertainment System;;1989;Nexoft;Role-Playing;1;;;;;;;;
Castlevania (USA);Castlevania (USA);Nintendo Entertainment System;;1987;Konami;Platform;1;;;;;;;;
Castlevania II - Simon's Quest (USA);Castlevania II - Simon's Quest (USA);Nintendo Entertainment System;;1988;Konami;Platform;1;;;;;;;;
Castlevania III - Dracula's Curse (USA);Castlevania III - Dracula's Curse (USA);Nintendo Entertainment System;;1990;Konami;Platform;1;;;;;;;;
Caveman Games (USA);Caveman Games (USA);Nintendo Entertainment System;;1990;Data East;Action;1;;;;;;;;
Challenge of the Dragon (USA) (Unl);Challenge of the Dragon (USA) (Unl);Nintendo Entertainment System;;1990;Color Dreams;Beat-'Em-Up;;;;;;;;;
Championship Bowling (USA);Championship Bowling (USA);Nintendo Entertainment System;;1989;Romstar;Sports/Bowling;4;;;;;;;;
Championship Pool (USA);Championship Pool (USA);Nintendo Entertainment System;;1993;Mindscape Inc.;Sports/Pool and Dart;8;;;;;;;;
Championship Rally (Europe);Championship Rally (Europe);Nintendo Entertainment System;;1991;Hal;Driving;;;;;;;;;
Chase (World) (Unl);Chase (World) (Unl);Nintendo Entertainment System;;2012;Shiru;Maze;;;;;;;;;
Cheetahmen II (USA) (Unl);Cheetahmen II (USA) (Unl);Nintendo Entertainment System;;1993;Active Enterprises;Action;;;;;;;;;
"Chessmaster, The (USA)";"Chessmaster, The (USA)";Nintendo Entertainment System;;1990;Software Toolworks;Board Games;1;;;;;;;;
"Chevaliers du Zodiaque, Les - La Legende d'Or (France) (Translated En)";"Chevaliers du Zodiaque, Les - La Legende d'Or (France) (Translated En)";Nintendo Entertainment System;;1987;TOSE;Role-Playing;;;;;;;;;
Chiller (USA) (Unl);Chiller (USA) (Unl);Nintendo Entertainment System;;1990;"American Game Cartridges, Inc.";Gun;;;;;;;;;
Chip 'n Dale - Rescue Rangers (USA);Chip 'n Dale - Rescue Rangers (USA);Nintendo Entertainment System;;1990;Capcom;Platform;2;;;;;;;;
Chip 'n Dale - Rescue Rangers 2 (USA);Chip 'n Dale - Rescue Rangers 2 (USA);Nintendo Entertainment System;;1994;Capcom;Platform;2;;;;;;;;
Chubby Cherub (USA);Chubby Cherub (USA);Nintendo Entertainment System;;1986;Bandai;Action;2;;;;;;;;
Chuck Yeager's Fighter Combat (USA) (Proto);Chuck Yeager's Fighter Combat (USA) (Proto);Nintendo Entertainment System;;1991;Culture Brain;Simulation;;;;;;;;;
Circus Caper (USA);Circus Caper (USA);Nintendo Entertainment System;;1990;Toho;Action;1;;;;;;;;
City Connection (USA);City Connection (USA);Nintendo Entertainment System;;1988;Jaleco Entertainment;Action;2;;;;;;;;
Clash at Demonhead (USA);Clash at Demonhead (USA);Nintendo Entertainment System;;1990;Vic Tokai;Platform;1;;;;;;;;
Classic Concentration (USA);Classic Concentration (USA);Nintendo Entertainment System;;1990;GameTek;Game Show;2;;;;;;;;
Cliffhanger (USA);Cliffhanger (USA);Nintendo Entertainment System;;1993;Sony Imagesoft;Action;1;;;;;;;;
Clu Clu Land (World);Clu Clu Land (World);Nintendo Entertainment System;;1985;Nintendo;Action;2;;;;;;;;
Cobra Command (USA);Cobra Command (USA);Nintendo Entertainment System;;1988;Data East;Action;1;;;;;;;;
Cobra Triangle (USA);Cobra Triangle (USA);Nintendo Entertainment System;;1989;Nintendo;Action;1;;;;;;;;
Code Name - Viper (USA);Code Name - Viper (USA);Nintendo Entertainment System;;1990;Capcom;Action;1;;;;;;;;
Color a Dinosaur (USA);Color a Dinosaur (USA);Nintendo Entertainment System;;1993;Virgin Interactive;Educational;1;;;;;;;;
Commando (USA);Commando (USA);Nintendo Entertainment System;;1986;Capcom;Action;1;;;;;;;;
Conan (USA);Conan (USA);Nintendo Entertainment System;;1991;Mindscape Inc.;Platform;1;;;;;;;;
Conflict (USA);Conflict (USA);Nintendo Entertainment System;;1990;Vic Tokai;Strategy;2;;;;;;;;
Conquest of the Crystal Palace (USA);Conquest of the Crystal Palace (USA);Nintendo Entertainment System;;1990;Asmik Corporation of America;Action;1;;;;;;;;
Contra (USA);Contra (USA);Nintendo Entertainment System;;1988;Konami;Shooter;2;;;;;;;;
Contra Force (USA);Contra Force (USA);Nintendo Entertainment System;;1992;Konami;Shooter;2;;;;;;;;
Cool World (USA);Cool World (USA);Nintendo Entertainment System;;1993;Ocean;Action;1;;;;;;;;
Corre Benny (Spain) (Unl);Corre Benny (Spain) (Unl);Nintendo Entertainment System;;1992;NTDEC;Shoot-'Em-Up;;;;;;;;;
Cosmos Cop (Spain) (Unl);Cosmos Cop (Spain) (Unl);Nintendo Entertainment System;;1991;Caltron;Shooter;;;;;;;;;
Cowboy Kid (USA);Cowboy Kid (USA);Nintendo Entertainment System;;1992;Romstar;Action;2;;;;;;;;
Crackout (Europe);Crackout (Europe);Nintendo Entertainment System;;1991;Palcom;Action;;;;;;;;;
Crash 'n' the Boys - Street Challenge (USA);Crash 'n' the Boys - Street Challenge (USA);Nintendo Entertainment System;;1992;Technos;Sports;4;;;;;;;;
Creatom (Spain) (Unl);Creatom (Spain) (Unl);Nintendo Entertainment System;;1991;Micro Genius;Puzzle;;;;;;;;;
Crystal Mines (USA) (Unl);Crystal Mines (USA) (Unl);Nintendo Entertainment System;;1989;Color Dreams;Puzzle;;;;;;;;;
Crystalis (USA);Crystalis (USA);Nintendo Entertainment System;;1990;SNK;Role-Playing;1;;;;;;;;
Cyber Stadium Series - Base Wars (USA);Cyber Stadium Series - Base Wars (USA);Nintendo Entertainment System;;1991;Ultra;Sports/Baseball;;;;;;;;;
Cyberball (USA);Cyberball (USA);Nintendo Entertainment System;;1992;Jaleco Entertainment;Sports;;;;;;;;;
Cybernoid - The Fighting Machine (USA);Cybernoid - The Fighting Machine (USA);Nintendo Entertainment System;;1989;Acclaim;Shooter;1;;;;;;;;
D-Pad Hero (World) (Unl);D-Pad Hero (World) (Unl);Nintendo Entertainment System;;2009;Kent Hansen and Andreas Pedersen;Rhythm;;;;;;;;;
D-Pad Hero 2 (World) (Unl);D-Pad Hero 2 (World) (Unl);Nintendo Entertainment System;;2010;Kent Hansen and Andreas Pedersen;Rhythm;;;;;;;;;
Dance Aerobics (USA);Dance Aerobics (USA);Nintendo Entertainment System;;1989;Nintendo;Rhythm;1;;;;;;;;
Danny Sullivan's Indy Heat (USA);Danny Sullivan's Indy Heat (USA);Nintendo Entertainment System;;1992;Tradewest;Driving;4;;;;;;;;
Darkman (USA);Darkman (USA);Nintendo Entertainment System;;1991;Ocean;Action;1;;;;;;;;
Darkwing Duck (USA);Darkwing Duck (USA);Nintendo Entertainment System;;1992;Capcom;Platform;1;;;;;;;;
Dash Galaxy in the Alien Asylum (USA);Dash Galaxy in the Alien Asylum (USA);Nintendo Entertainment System;;1990;Data East;Action;1;;;;;;;;
Day Dreamin' Davey (USA);Day Dreamin' Davey (USA);Nintendo Entertainment System;;1992;Hal;Action;1;;;;;;;;
Days of Thunder (USA);Days of Thunder (USA);Nintendo Entertainment System;;1990;Mindscape Inc.;Driving;1;;;;;;;;
Deadly Towers (USA);Deadly Towers (USA);Nintendo Entertainment System;;1987;Broderbund;Role-Playing;1;;;;;;;;
Death Race (USA) (Unl);Death Race (USA) (Unl);Nintendo Entertainment System;;1991;American Game Cartridges;Driving;;;;;;;;;
Deathbots (USA) (Unl);Deathbots (USA) (Unl);Nintendo Entertainment System;;1990;American Video Entertainment;Action;;;;;;;;;
Defender II (USA);Defender II (USA);Nintendo Entertainment System;;1988;Hal;Shoot-'Em-Up;2;;;;;;;;
Defender of the Crown (USA);Defender of the Crown (USA);Nintendo Entertainment System;;1989;Ultra;Strategy;1;;;;;;;;
